"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.304948700E-2,-1.116365045E-1,-2.429771274E-1,9.715063095E0,9.718742282E0
5.553948700E-2,-9.248372167E-2,-2.525535226E-1,9.750975609E0,9.754684098E0
5.802917400E-2,-1.164247096E-1,-2.525535226E-1,9.741397858E0,9.745366602E0
6.051865400E-2,-1.212129071E-1,-2.334007472E-1,9.748580933E0,9.752127905E0
6.300797700E-2,-9.727191925E-2,-2.477653325E-1,9.731822014E0,9.735461427E0
6.549714300E-2,-8.769552410E-2,-2.525535226E-1,9.722246170E0,9.725921261E0
6.798625800E-2,-1.092424095E-1,-2.381889224E-1,9.681546211E0,9.685091889E0
7.047532000E-2,-1.092424095E-1,-2.190361321E-1,9.671970367E0,9.675067003E0
7.296438300E-2,-1.020601094E-1,-2.142479420E-1,9.657605171E0,9.660520488E0
7.545344500E-2,-9.487781674E-2,-2.142479420E-1,9.631270409E0,9.634120285E0
7.794240400E-2,-9.727191925E-2,-2.142479420E-1,9.636057854E0,9.638930178E0
8.043136200E-2,-9.248372167E-2,-2.214302421E-1,9.609723091E0,9.612718787E0
8.292032000E-2,-1.020601094E-1,-2.405830324E-1,9.643239975E0,9.646780482E0
8.540927900E-2,-9.008961916E-2,-2.310066223E-1,9.686334610E0,9.689507644E0
8.789823700E-2,-1.044542119E-1,-2.381889224E-1,9.676757812E0,9.680252394E0
9.038714300E-2,-8.290731907E-2,-2.238243222E-1,9.743793488E0,9.746716497E0
9.287604900E-2,-9.487781674E-2,-2.429771274E-1,9.755763054E0,9.759249584E0
9.536490400E-2,-7.333092391E-2,-2.453712225E-1,9.746187210E0,9.749551251E0
9.785370600E-2,-6.854273379E-2,-2.429771274E-1,9.739004135E0,9.742275788E0
1.003425080E-1,-7.572502643E-2,-2.214302421E-1,9.734215736E0,9.737028378E0
1.028313100E-1,-8.051322401E-2,-2.453712225E-1,9.691122055E0,9.694562192E0
1.053201120E-1,-8.769552410E-2,-2.238243222E-1,9.681546211E0,9.684530183E0
1.078088620E-1,-8.769552410E-2,-2.214302421E-1,9.631270409E0,9.634214630E0
1.102976120E-1,-9.727191925E-2,-2.214302421E-1,9.609723091E0,9.612766047E0
1.127863620E-1,-1.068483144E-1,-2.094597518E-1,9.592964172E0,9.595845537E0
1.152751120E-1,-9.966601431E-2,-2.286125422E-1,9.578599930E0,9.581846045E0
1.177638100E-1,-7.811912894E-2,-2.286125422E-1,9.609723091E0,9.612759447E0
1.202525080E-1,-9.248372167E-2,-2.381889224E-1,9.609723091E0,9.613119426E0
1.227412060E-1,-8.290731907E-2,-2.429771274E-1,9.638452530E0,9.641871119E0
1.252299040E-1,-9.487781674E-2,-2.477653325E-1,9.671970367E0,9.675608521E0
1.277186020E-1,-9.248372167E-2,-2.477653325E-1,9.688728333E0,9.692337056E0
1.302072990E-1,-8.530142903E-2,-2.429771274E-1,9.705487251E0,9.708902976E0
1.326959970E-1,-8.769552410E-2,-2.597358227E-1,9.710275650E0,9.714144656E0
1.351846950E-1,-9.966601431E-2,-2.764945030E-1,9.700698853E0,9.705150218E0
1.376733930E-1,-9.248372167E-2,-2.429771274E-1,9.659998894E0,9.663496766E0
1.401620910E-1,-1.116365045E-1,-2.525535226E-1,9.626482010E0,9.630441417E0
1.426507890E-1,-1.020601094E-1,-2.429771274E-1,9.614511490E0,9.618122755E0
1.451394870E-1,-9.966601431E-2,-2.501594424E-1,9.595357895E0,9.599135700E0
1.476281330E-1,-1.140306070E-1,-2.166420519E-1,9.583388329E0,9.586514936E0
