"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.994903300E-2,-6.614863127E-2,-1.974892616E-1,9.693517685E0,9.695754883E0
2.243715800E-2,-1.068483144E-1,-1.927010715E-1,9.640846252E0,9.643363870E0
2.492528300E-2,-8.530142903E-2,-1.927010715E-1,9.652816772E0,9.655116865E0
2.741340800E-2,-6.614863127E-2,-1.687600613E-1,9.657605171E0,9.659306044E0
2.990153300E-2,-5.178403854E-2,-1.663659811E-1,9.683939934E0,9.685507311E0
3.238971000E-2,-8.051322401E-2,-1.783364713E-1,9.650423050E0,9.652406504E0
3.487783500E-2,-7.811912894E-2,-1.663659811E-1,9.686334610E0,9.688078159E0
3.736596000E-2,-7.572502643E-2,-1.855187416E-1,9.679152489E0,9.681226388E0
3.985413700E-2,-8.290731907E-2,-1.879128516E-1,9.681546211E0,9.683724588E0
4.234226200E-2,-6.375452876E-2,-1.783364713E-1,9.645635605E0,9.647494740E0
4.483038700E-2,-7.093682885E-2,-1.855187416E-1,9.674364090E0,9.676402729E0
4.731851200E-2,-8.051322401E-2,-1.950951517E-1,9.640846252E0,9.643156172E0
4.980663700E-2,-6.854273379E-2,-1.927010715E-1,9.657605171E0,9.659770673E0
5.229476200E-2,-8.290731907E-2,-1.711541712E-1,9.650423050E0,9.652296743E0
5.478288700E-2,-7.333092391E-2,-1.759423912E-1,9.652816772E0,9.654698586E0
5.727096000E-2,-8.290731907E-2,-1.807305813E-1,9.638452530E0,9.640503324E0
5.975903300E-2,-8.290731907E-2,-1.807305813E-1,9.669576645E0,9.671620839E0
6.224715800E-2,-7.333092391E-2,-1.950951517E-1,9.657605171E0,9.659853890E0
6.473528300E-2,-7.093682885E-2,-1.735482514E-1,9.671970367E0,9.673787356E0
6.722340800E-2,-7.093682885E-2,-1.711541712E-1,9.664787292E0,9.666562946E0
6.971153300E-2,-7.333092391E-2,-1.855187416E-1,9.679152489E0,9.681207958E0
7.219971000E-2,-7.572502643E-2,-1.831246614E-1,9.652816772E0,9.654850624E0
7.468788700E-2,-7.811912894E-2,-1.903069317E-1,9.662393570E0,9.664583221E0
7.717606400E-2,-6.375452876E-2,-2.070656717E-1,9.664787292E0,9.667215434E0
7.966424100E-2,-6.375452876E-2,-1.759423912E-1,9.657605171E0,9.659418099E0
8.215236600E-2,-7.811912894E-2,-1.783364713E-1,9.664787292E0,9.666748156E0
8.464049100E-2,-8.290731907E-2,-1.807305813E-1,9.681546211E0,9.683587879E0
8.712861600E-2,-5.896633118E-2,-1.927010715E-1,9.648029327E0,9.650133711E0
8.961674100E-2,-6.854273379E-2,-2.022774518E-1,9.669576645E0,9.671935006E0
9.210491900E-2,-6.614863127E-2,-1.903069317E-1,9.669576645E0,9.671675391E0
9.459309600E-2,-7.093682885E-2,-1.735482514E-1,9.681546211E0,9.683361403E0
9.708127300E-2,-9.487781674E-2,-1.807305813E-1,9.655211449E0,9.657368868E0
9.956945000E-2,-9.248372167E-2,-1.974892616E-1,9.671970367E0,9.674428460E0
1.020576270E-1,-8.769552410E-2,-1.783364713E-1,9.695911407E0,9.697947846E0
1.045458040E-1,-7.333092391E-2,-1.927010715E-1,9.669576645E0,9.671774585E0
1.070339810E-1,-7.093682885E-2,-1.998833418E-1,9.664787292E0,9.667114295E0
1.095221580E-1,-8.051322401E-2,-1.759423912E-1,9.662393570E0,9.664330686E0
1.120103350E-1,-6.375452876E-2,-1.831246614E-1,9.662393570E0,9.664339025E0
1.144985120E-1,-8.290731907E-2,-1.807305813E-1,9.683939934E0,9.685981097E0
1.169866890E-1,-8.051322401E-2,-1.855187416E-1,9.664787292E0,9.666902968E0
1.194748660E-1,-7.572502643E-2,-1.783364713E-1,9.650423050E0,9.652367752E0
1.219630440E-1,-8.051322401E-2,-1.903069317E-1,9.664787292E0,9.666996044E0
1.244512210E-1,-7.811912894E-2,-1.783364713E-1,9.676757812E0,9.678716250E0
1.269369500E-1,-7.333092391E-2,-1.735482514E-1,9.693517685E0,9.695348448E0
1.293984080E-1,-9.008961916E-2,-1.974892616E-1,9.650423050E0,9.652863989E0
1.318385120E-1,-8.290731907E-2,-1.879128516E-1,9.664787292E0,9.666969446E0
1.342783560E-1,-8.769552410E-2,-1.879128516E-1,9.667181015E0,9.669404869E0
1.367177310E-1,-6.375452876E-2,-1.855187416E-1,9.683939934E0,9.685926620E0
1.391579910E-1,-9.248372167E-2,-1.807305813E-1,9.688728333E0,9.690855147E0
1.415978350E-1,-7.811912894E-2,-1.663659811E-1,9.671970367E0,9.673716505E0
1.440372100E-1,-6.854273379E-2,-1.759423912E-1,9.679152489E0,9.680994098E0
1.464768980E-1,-6.854273379E-2,-1.998833418E-1,9.691122055E0,9.693425511E0
1.489166370E-1,-9.966601431E-2,-1.903069317E-1,9.662393570E0,9.664781402E0
1.513570540E-1,-8.290731907E-2,-1.950951517E-1,9.669576645E0,9.671899929E0
1.537969500E-1,-6.854273379E-2,-1.831246614E-1,9.652816772E0,9.654796963E0
1.562361160E-1,-7.333092391E-2,-1.879128516E-1,9.679152489E0,9.681254132E0
1.586760120E-1,-5.657223612E-2,-1.735482514E-1,9.674364090E0,9.676085983E0
1.611158040E-1,-8.530142903E-2,-1.950951517E-1,9.664787292E0,9.667132556E0
1.635553350E-1,-7.093682885E-2,-1.783364713E-1,9.664787292E0,9.666692782E0
1.659953350E-1,-7.333092391E-2,-1.759423912E-1,9.669576645E0,9.671455198E0
1.684353870E-1,-8.530142903E-2,-1.711541712E-1,9.669576645E0,9.671467447E0
1.708755440E-1,-6.375452876E-2,-1.735482514E-1,9.631270409E0,9.633044862E0
1.733149710E-1,-7.093682885E-2,-1.855187416E-1,9.674364090E0,9.676402729E0
1.757540850E-1,-8.769552410E-2,-1.974892616E-1,9.676757812E0,9.679170123E0
1.781943460E-1,-8.051322401E-2,-1.998833418E-1,9.664787292E0,9.667189309E0
1.806341370E-1,-9.487781674E-2,-1.735482514E-1,9.688728333E0,9.690747004E0
1.830731480E-1,-7.333092391E-2,-1.950951517E-1,9.686334610E0,9.688576661E0
1.855123140E-1,-8.051322401E-2,-1.974892616E-1,9.667181015E0,9.669533244E0
1.879518460E-1,-5.896633118E-2,-1.759423912E-1,9.659998894E0,9.661780963E0
1.903919500E-1,-7.333092391E-2,-1.711541712E-1,9.669576645E0,9.671369276E0
1.928316890E-1,-6.136043742E-2,-1.711541712E-1,9.674364090E0,9.676072519E0
1.952708560E-1,-6.854273379E-2,-1.903069317E-1,9.657605171E0,9.659723209E0
1.977105960E-1,-5.657223612E-2,-1.759423912E-1,9.657605171E0,9.659373364E0
2.001497100E-1,-9.966601431E-2,-1.759423912E-1,9.669576645E0,9.671690728E0
2.025886690E-1,-8.290731907E-2,-1.639718711E-1,9.676757812E0,9.678502062E0
2.050282520E-1,-7.093682885E-2,-1.879128516E-1,9.657605171E0,9.659693624E0
2.074678350E-1,-6.854273379E-2,-1.663659811E-1,9.671970367E0,9.673643912E0
2.099078870E-1,-6.375452876E-2,-1.879128516E-1,9.659998894E0,9.662036768E0
2.123474190E-1,-6.375452876E-2,-1.831246614E-1,9.662393570E0,9.664339025E0
2.147866370E-1,-4.938993603E-2,-1.831246614E-1,9.681546211E0,9.683403898E0
2.172269500E-1,-7.572502643E-2,-1.663659811E-1,9.652816772E0,9.654547300E0
2.196668460E-1,-7.811912894E-2,-1.663659811E-1,9.676757812E0,9.678503087E0
2.221065850E-1,-8.769552410E-2,-1.591836512E-1,9.650423050E0,9.652134219E0
2.245465330E-1,-8.290731907E-2,-1.807305813E-1,9.648029327E0,9.650078086E0
2.269858560E-1,-8.530142903E-2,-1.903069317E-1,9.667181015E0,9.669430275E0
2.294253350E-1,-7.333092391E-2,-1.687600613E-1,9.655211449E0,9.656964611E0
2.318646060E-1,-8.051322401E-2,-1.759423912E-1,9.667181015E0,9.669117172E0
2.343041370E-1,-7.333092391E-2,-1.735482514E-1,9.664787292E0,9.666623497E0
2.367443980E-1,-8.769552410E-2,-1.950951517E-1,9.671970367E0,9.674335296E0
2.391840330E-1,-5.178403854E-2,-1.927010715E-1,9.648029327E0,9.650092497E0
2.416234080E-1,-7.572502643E-2,-1.879128516E-1,9.667181015E0,9.669303713E0
2.440630960E-1,-6.614863127E-2,-1.711541712E-1,9.679152489E0,9.680891606E0
2.465025750E-1,-7.572502643E-2,-1.783364713E-1,9.676757812E0,9.678697223E0
2.489422100E-1,-5.896633118E-2,-1.879128516E-1,9.669576645E0,9.671582123E0
2.513816370E-1,-7.333092391E-2,-1.711541712E-1,9.671970367E0,9.673762555E0
2.538207000E-1,-7.093682885E-2,-1.496073008E-1,9.662393570E0,9.663812078E0
2.562603350E-1,-6.854273379E-2,-1.879128516E-1,9.676757812E0,9.678824883E0
2.586995020E-1,-7.572502643E-2,-1.879128516E-1,9.650423050E0,9.652549433E0
2.611383560E-1,-7.093682885E-2,-1.879128516E-1,9.669576645E0,9.671662513E0
2.635781480E-1,-6.136043742E-2,-1.807305813E-1,9.645635605E0,9.647523769E0
2.660180960E-1,-7.093682885E-2,-1.711541712E-1,9.655211449E0,9.656988863E0
2.684582520E-1,-6.614863127E-2,-1.687600613E-1,9.657605171E0,9.659306044E0
2.708977830E-1,-7.811912894E-2,-1.663659811E-1,9.657605171E0,9.659353906E0
2.733368980E-1,-7.811912894E-2,-1.903069317E-1,9.671970367E0,9.674157850E0
2.757771580E-1,-6.854273379E-2,-1.831246614E-1,9.676757812E0,9.678733105E0
2.782168980E-1,-5.896633118E-2,-1.950951517E-1,9.652816772E0,9.654968192E0
2.806561160E-1,-8.290731907E-2,-1.879128516E-1,9.659998894E0,9.662182129E0
2.830957000E-1,-6.375452876E-2,-1.783364713E-1,9.667181015E0,9.669036007E0
2.855350750E-1,-8.530142903E-2,-1.735482514E-1,9.669576645E0,9.671510111E0
2.879749190E-1,-8.769552410E-2,-1.807305813E-1,9.683939934E0,9.686023265E0
2.904144500E-1,-8.769552410E-2,-1.927010715E-1,9.686334610E0,9.688648120E0
2.928535640E-1,-8.051322401E-2,-1.927010715E-1,9.655211449E0,9.657469865E0
2.952935120E-1,-8.290731907E-2,-1.950951517E-1,9.681546211E0,9.683866624E0
2.977329910E-1,-7.333092391E-2,-1.663659811E-1,9.686334610E0,9.688040733E0
3.001720020E-1,-5.896633118E-2,-1.831246614E-1,9.657605171E0,9.659521174E0
3.026114810E-1,-6.854273379E-2,-1.735482514E-1,9.667181015E0,9.668981636E0
3.050511160E-1,-6.614863127E-2,-1.927010715E-1,9.664787292E0,9.666934507E0
3.074912210E-1,-8.290731907E-2,-1.759423912E-1,9.655211449E0,9.657170262E0
3.099307000E-1,-8.769552410E-2,-1.927010715E-1,9.664787292E0,9.667105959E0
3.123701270E-1,-7.093682885E-2,-1.879128516E-1,9.657605171E0,9.659693624E0
3.148102310E-1,-8.051322401E-2,-1.639718711E-1,9.679152489E0,9.680876099E0
3.172499710E-1,-8.530142903E-2,-1.735482514E-1,9.679152489E0,9.681084042E0
3.196892940E-1,-9.487781674E-2,-2.046715319E-1,9.695911407E0,9.698535470E0
3.221288250E-1,-7.333092391E-2,-1.855187416E-1,9.664787292E0,9.666845816E0
3.245682520E-1,-7.333092391E-2,-1.879128516E-1,9.662393570E0,9.664498857E0
3.270081480E-1,-8.530142903E-2,-1.759423912E-1,9.674364090E0,9.676339835E0
3.294480440E-1,-7.572502643E-2,-1.927010715E-1,9.657605171E0,9.659824306E0
3.318873660E-1,-4.699584842E-2,-1.831246614E-1,9.657605171E0,9.659455517E0
3.343272620E-1,-6.854273379E-2,-2.046715319E-1,9.669576645E0,9.671985372E0
3.367672100E-1,-8.769552410E-2,-1.927010715E-1,9.681546211E0,9.683860865E0
3.392065330E-1,-6.136043742E-2,-1.711541712E-1,9.657605171E0,9.659316565E0
3.416455440E-1,-7.811912894E-2,-1.998833418E-1,9.698305130E0,9.700679272E0
3.440843460E-1,-7.572502643E-2,-1.807305813E-1,9.681546211E0,9.683529050E0
